::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 Photoionisation model P6, MAPPINGS V v5.1.13 
::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 (Diffuse Field , Robust Integration, Radiation Pressure)

 Run   :, example II                                                                                      
 Input :, INTERACTIVE                     
 Output:, photn0001.ph6                   

 Abundances:
 El.,log[X/H],12+[X/H],log[Del],log[Dep],log[Gas],12+[Gas], Mass Fr.
     2328.517,  5.3246E+00,  5.8555E-05, Si II    , CM  ,    2
     2331.398,  5.3180E+00,  6.6559E-05, O  III   , CM  ,    2
     2334.407,  5.3112E+00,  1.0170E-03, Si II    , CM  ,    2
     2334.605,  5.3107E+00,  2.0250E-03, Si II    , CM  ,    2
     2343.495,  5.2906E+00,  3.3977E-04, Fe II    , CM  ,    2
     2344.202,  5.2890E+00,  2.6808E-03, Si II    , CM  ,    2
     2348.116,  5.2802E+00,  1.3365E-05, Fe II    , CM  ,    2
     2350.172,  5.2755E+00,  8.4648E-04, Si II    , CM  ,    2
     2359.999,  5.2536E+00,  1.1571E-05, Fe II    , CM  ,    2
     2364.828,  5.2428E+00,  9.3933E-05, Fe II    , CM  ,    2
     2373.735,  5.2232E+00,  3.5755E-05, Fe II    , CM  ,    2
     2380.761,  5.2078E+00,  1.5206E-05, Fe II    , CM  ,    2
     2382.037,  5.2050E+00,  1.1123E-03, Fe II    , CM  ,    2
     2385.406,  5.1976E+00,  5.2625E-04, He II    , RCAB,    1
     2395.625,  5.1754E+00,  1.5245E-04, Fe II    , CM  ,    2
     2404.885,  5.1555E+00,  1.3381E-05, Fe II    , CM  ,    2
     2421.810,  5.1195E+00,  4.8352E-03, Ne IV    , CM  ,    2
     2424.422,  5.1140E+00,  6.9913E-03, Ne IV    , CM  ,    2
     2438.291,  5.0849E+00,  2.2733E-04, Fe III   , CM  ,    2
     2464.513,  5.0308E+00,  1.6350E-04, Fe III   , CM  ,    2
     2470.219,  5.0192E+00,  3.4167E-03, O  II    , CM  ,    2
     2470.341,  5.0189E+00,  1.3571E-02, O  II    , CM  ,    2
     2483.044,  4.9932E+00,  1.1083E-04, Fe III   , CM  ,    2
     2495.036,  4.9692E+00,  6.4049E-05, Fe III   , CM  ,    2
     2500.960,  4.9575E+00,  2.0985E-05, Fe III   , CM  ,    2
     2511.207,  4.9372E+00,  8.0274E-04, He II    , RCAB,    1
     2541.819,  4.8778E+00,  4.2529E-05, Si III   , CC  ,    3
     2562.535,  4.8383E+00,  1.0912E-05, Fe II    , CM  ,    2
     2567.403,  4.8292E+00,  1.7268E-04, Fe IV    , CM  ,    2
     2567.607,  4.8288E+00,  9.8872E-04, Fe IV    , CM  ,    2
     2577.917,  4.8095E+00,  1.2591E-04, Fe IV    , CM  ,    2
     2585.876,  4.7947E+00,  8.5311E-05, Fe II    , CM  ,    2
     2598.369,  4.7716E+00,  1.7961E-05, Fe II    , CM  ,    2
     2599.395,  4.7697E+00,  1.0035E-03, Fe II    , CM  ,    2
     2607.087,  4.7557E+00,  1.0097E-05, Fe II    , CM  ,    2
     2611.873,  4.7469E+00,  1.5857E-04, Fe II    , CM  ,    2
     2625.667,  4.7220E+00,  2.1908E-04, Fe II    , CM  ,    2
     2631.047,  4.7124E+00,  1.5947E-05, Fe II    , CM  ,    2
     2631.323,  4.7119E+00,  1.1053E-04, Fe II    , CM  ,    2
     2660.355,  4.6604E+00,  1.6713E-03, Al II    , CM  ,    2
     2669.155,  4.6451E+00,  1.0829E-03, Al II    , CM  ,    2
     2691.052,  4.6073E+00,  4.9970E-05, Ar V     , CM  ,    2
     2733.296,  4.5361E+00,  1.3233E-03, He II    , RCAB,    1
     2739.547,  4.5257E+00,  1.8880E-05, Fe II    , CM  ,    2
     2746.952,  4.5135E+00,  3.1529E-05, C  II    , RB  ,    4
     2755.736,  4.4991E+00,  4.9390E-05, Fe II    , CM  ,    2
     2782.756,  4.4554E+00,  8.0255E-05, Mg V     , CM  ,    2
     2790.777,  4.4426E+00,  9.2686E-05, Mg II    , CM  ,    2
     2795.528,  4.4351E+00,  3.7711E-02, Mg II    , CM  CC  ,    2, *
     2797.930,  4.4313E+00,  1.8396E-05, Mg II    , CM  ,    2
     2797.998,  4.4312E+00,  1.7733E-04, Mg II    , CM  CC  ,    2, *
     2802.705,  4.4237E+00,  1.9023E-02, Mg II    , CC  CM  ,    3, *
     2823.501,  4.3912E+00,  2.3123E-03, Fe IV    , CM  ,    2
     2828.238,  4.3838E+00,  1.3442E-05, Fe V     , CM  ,    2
     2829.359,  4.3821E+00,  3.9024E-03, Fe IV    , CM  ,    2
     2835.740,  4.3722E+00,  8.5003E-03, Fe IV    , CM  ,    2
     2837.155,  4.3700E+00,  7.8124E-05, C  II    , RB  ,    4
     2853.662,  4.3447E+00,  2.7840E-03, Ar IV    , CM  ,    2
     2868.220,  4.3227E+00,  1.2754E-03, Ar IV    , CM  ,    2
     2928.087,  4.2343E+00,  2.1830E-05, Mg V     , CM  ,    2
     2928.633,  4.2335E+00,  4.0538E-05, Mg II    , CM  ,    2
     2936.510,  4.2222E+00,  9.6174E-05, Mg II    , CC  CM  ,    3, *
     2945.103,  4.2098E+00,  1.7648E-02, He I     , RCBT,    3
     2972.286,  4.1713E+00,  1.9666E-05, O  I     , CM  ,    2
     2973.134,  4.1702E+00,  4.0909E-05, Ne V     , CM  ,    2
     2992.127,  4.1437E+00,  1.3120E-05, C  II    , RB  ,    4
     3005.223,  4.1256E+00,  1.9142E-05, Ar III   , CM  ,    2
     3034.461,  4.0859E+00,  2.2308E-05, Ne II    , RB  ,    4
     3047.556,  4.0683E+00,  1.1663E-05, Ne II    , RB  ,    4
     3062.826,  4.0480E+00,  1.1487E-05, N  II    , CM  ,    2
     3094.531,  4.0066E+00,  2.6289E-04, Fe IV    , CM  ,    2
     3094.962,  4.0060E+00,  8.2018E-03, Fe IV    , CM  ,    2
     3095.767,  4.0050E+00,  1.1522E-04, Fe IV    , CM  ,    2
     3109.176,  3.9877E+00,  2.1040E-03, Ar III   , CM  ,    2
     3118.656,  3.9756E+00,  2.7903E-05, Cl IV    , CM  ,    2
     3187.744,  3.8894E+00,  3.6601E-02, He I     , RCBT,    3
     3203.097,  3.8708E+00,  2.4422E-03, He II    , RCAB,    1
     3214.329,  3.8572E+00,  1.4320E-05, Ne II    , RB  ,    4
